policy,seed,requests,hit_rate,edge_hit_rate,coop_hit_rate,cloud_fetch_rate,deadline_satisfaction,avg_latency_ms,p95_latency_ms,p99_latency_ms,avg_energy,cache_evictions,load_imbalance
LRU,42,6000,0.107,0.107,0.0,0.893,0.107,137.23424945318786,178.275,181.0,102.93646666666666,5253,1.939252336433495
LRU,43,6000,0.14833333333333334,0.14833333333333334,0.0,0.8516666666666667,0.14833333333333334,130.28850756846884,180.525,182.4,94.70937833333333,4982,1.6404494381930312
LRU,44,6000,0.13933333333333334,0.13933333333333334,0.0,0.8606666666666667,0.13933333333333334,135.64460749155623,181.5,181.75,107.61077166666666,5105,2.0035885167344287
LFU,42,6000,0.2165,0.2165,0.0,0.7835,0.2165,124.43219554304369,178.275,181.0,98.750525,4622,2.02078521939176
LFU,43,6000,0.24516666666666667,0.24516666666666667,0.0,0.7548333333333334,0.24516666666666667,119.28588243270035,180.525,182.4,92.77467166666666,4259,1.6723317471051247
LFU,44,6000,0.22233333333333333,0.22233333333333333,0.0,0.7776666666666666,0.22233333333333333,125.47079448291295,181.5,181.75,101.70271333333334,4574,2.1176911544148513
DCCC_HASH,42,6000,0.5048333333333334,0.24566666666666667,0.25916666666666666,0.49516666666666664,0.5048333333333334,94.6386123531598,174.625,181.0,69.742105,2983,2.2944866292467903
DCCC_HASH,43,6000,0.5155,0.42433333333333334,0.09116666666666666,0.4845,0.5155,88.81620355592727,180.275,180.525,68.55930333333333,2914,1.8962172647883992
DCCC_HASH,44,6000,0.501,0.3411666666666667,0.15983333333333333,0.499,0.501,93.75971641476133,175.25,178.475,71.39474333333334,3003,1.9793745841617107
DCCC_NEAREST,42,6000,0.5388333333333334,0.093,0.44583333333333336,0.46116666666666667,0.5388333333333334,94.87248387512975,175.425,181.0,67.91396166666667,2776,1.8744200433005345
DCCC_NEAREST,43,6000,0.5873333333333334,0.06866666666666667,0.5186666666666667,0.4126666666666667,0.5873333333333334,89.95015153596347,176.8,181.35,60.996795,2485,2.0417139614045947
DCCC_NEAREST,44,6000,0.5215,0.09666666666666666,0.42483333333333334,0.4785,0.5215,96.88070930932089,175.825,178.475,69.742475,2880,1.76733780760344
DEADLINE_NO_OVERLAP,42,6000,0.536,0.4038333333333333,0.13216666666666665,0.464,0.536,87.88181053716896,175.425,181.0,68.395235,2794,1.675995024873016
DEADLINE_NO_OVERLAP,43,6000,0.5968333333333333,0.474,0.12283333333333334,0.4031666666666667,0.5968333333333333,79.46846702095992,176.8,181.35,60.343869999999995,2427,2.032951689469376
DEADLINE_NO_OVERLAP,44,6000,0.527,0.3963333333333333,0.13066666666666665,0.473,0.527,89.9725451938446,175.25,178.475,69.30277,2847,1.7931688804525725
DEADLINE_HEURISTIC,42,6000,0.545,0.41383333333333333,0.13116666666666665,0.455,0.545,87.05927624079526,175.425,181.0,67.88147,2737,1.7568807339422678
DEADLINE_HEURISTIC,43,6000,0.587,0.46366666666666667,0.12333333333333334,0.413,0.587,80.40068131242862,176.8,181.35,60.861286666666665,2485,1.967632027254447
DEADLINE_HEURISTIC,44,6000,0.5158333333333334,0.38466666666666666,0.13116666666666665,0.4841666666666667,0.5158333333333334,91.28147844524887,175.25,178.475,70.09553166666666,2914,1.7221324717258124
DEADLINE_DCCC,42,6000,0.545,0.41383333333333333,0.13116666666666665,0.455,0.545,87.05927624079526,175.425,181.0,67.88147,2737,1.7568807339422678
DEADLINE_DCCC,43,6000,0.587,0.46366666666666667,0.12333333333333334,0.413,0.587,80.40068131242862,176.8,181.35,60.861286666666665,2485,1.967632027254447
DEADLINE_DCCC,44,6000,0.5158333333333334,0.38466666666666666,0.13116666666666665,0.4841666666666667,0.5158333333333334,91.28147844524887,175.25,178.475,70.09553166666666,2914,1.7221324717258124
